LATITUDE,LONGITUDE,DATE
37.12666667,-102.84166667,1993-08-08
37.12666667,-102.625,1993-10-23
38.67333333,-104.85166667,1993-07-03
38.855,-105.07166667,1993-07-07
38.885,-104.87333333,1993-07-09
39.02,-105.29166667,1993-05-11
39.2,-105.23333333,1993-06-01
39.25,-105.16666667,1993-06-20
39.3,-105.16666667,1993-07-15
39.3,-105.2,1993-10-03
37.4,-107.805,1993-07-04
37.36666667,-108.32166667,1993-05-11
37.74166667,-108.16666667,1993-08-06
40.09166667,-107.41666667,1993-08-02
38.70333333,-108.81833333,1994-07-03
38.685,-108.785,1994-07-12
38.64166667,-108.69333333,1994-09-02
38.285,-108.34333333,1994-05-31
38.38666667,-108.49166667,1994-07-29
38.385,-108.475,1994-07-11
38.22666667,-108.28833333,1994-08-23
38.55333333,-108.37833333,1994-07-15
38.25333333,-107.40333333,1994-07-13
37.10666667,-106.34166667,1994-07-24
38.19666667,-106.565,1994-07-04
38.67166667,-106.42166667,1994-06-11
38.27,-106.25833333,1994-07-21
39.95833333,-105.37666667,1994-06-26
40.11666667,-105.51666667,1994-06-29
39.915,-105.5,1994-07-16
40.085,-105.41833333,1994-09-14
40.59,-105.37333333,1994-04-03
40.31333333,-105.325,1994-07-12
40.37666667,-105.36166667,1994-07-12
40.85,-105.42833333,1994-01-19
40.05,-105.05,1994-07-01
40.72,-105.48666667,1994-07-11
40.48833333,-105.31666667,1994-07-12
40.585,-105.67333333,1994-07-21
40.705,-105.295,1994-08-05
40.805,-105.89,1994-08-16
40.80833333,-106.76,1994-07-13
40.08333333,-106.53333333,1994-06-25
40.08333333,-106.61666667,1994-06-15
40.28333333,-106.7,1994-07-11
40.3,-106.7,1994-07-10
40.2,-107.36666667,1994-08-18
38.78333333,-106.3,1994-06-15
38.475,-105.85166667,1994-06-30
38.71666667,-106.05,1994-07-29
39.3,-105.21666667,1994-08-17
38.35,-105.26666667,1994-06-06
38.31666667,-105.21666667,1994-08-17
37.27166667,-102.625,1994-03-01
37.155,-102.67833333,1994-04-23
37.05333333,-102.35166667,1994-07-01
37.23666667,-103.01833333,1994-07-05
37.28833333,-103.30333333,1994-07-02
37.30166667,-102.715,1994-07-05
37.09833333,-102.37,1994-07-01
37.155,-102.75166667,1994-07-16
37.18,-103.53166667,1994-07-17
37.025,-102.35166667,1994-07-03
37.01,-102.38833333,1994-07-03
37.04,-102.37,1994-07-24
37.79833333,-103.79833333,1994-07-25
37.79833333,-103.815,1994-07-25
37.58,-103.65166667,1994-08-06
37.05333333,-102.29833333,1994-07-11
39.0,-104.92166667,1994-07-06
39.17333333,-105.625,1994-05-05
39.41666667,-105.18333333,1994-04-23
39.23666667,-105.305,1994-06-18
39.25,-105.21666667,1994-06-29
39.22166667,-105.18833333,1994-06-30
39.405,-105.2,1994-07-09
39.45,-105.08833333,1994-07-12
39.47166667,-105.1,1994-07-12
39.36666667,-105.2,1994-07-12
39.25,-105.01666667,1994-07-25
39.21666667,-105.21666667,1994-07-30
39.38833333,-105.33333333,1994-09-04
37.45472222,-107.76944444,1994-06-12
37.43805556,-107.81055556,1994-06-16
37.315,-107.97472222,1994-06-20
37.33333333,-108.06666667,1994-06-20
37.64388889,-107.81861111,1994-07-04
37.45833333,-107.8075,1994-07-05
37.54416667,-107.76444444,1994-07-26
37.67611111,-108.45055556,1994-06-01
37.52416667,-108.48888889,1994-07-03
37.5825,-108.12638889,1994-07-03
37.69916667,-107.94527778,1994-07-29
37.49083333,-108.40333333,1994-08-16
37.88361111,-108.75916667,1994-08-22
37.50055556,-108.35972222,1994-09-12
37.56138889,-108.44138889,1994-09-23
37.50055556,-108.35527778,1994-09-30
37.44916667,-107.27111111,1994-06-12
37.16111111,-106.84444444,1994-07-13
37.14,-107.00666667,1994-07-14
37.24138889,-107.14916667,1994-08-23
37.24388889,-107.2925,1994-05-11
37.2225,-107.325,1994-06-26
39.81166667,-107.61333333,1994-08-05
39.965,-107.475,1994-07-12
39.35,-106.65,1994-05-05
39.25166667,-106.98,1994-07-09
39.6,-107.24166667,1994-08-04
39.58833333,-106.67333333,1994-09-28
39.88333333,-106.46166667,1994-07-09
39.61833333,-106.51833333,1994-07-30
39.85333333,-106.59666667,1994-09-08
39.76166667,-107.54333333,1994-07-20
39.475,-106.175,1994-06-11
39.76666667,-106.275,1994-07-08
36.99833333,-107.35,1994-07-24
38.45,-108.93333333,1994-07-16
38.12333333,-107.62333333,1995-10-21
38.50666667,-107.39333333,1995-10-13
37.06666667,-105.81666667,1995-07-29
38.25,-106.54166667,1995-10-23
40.21666667,-105.475,1995-07-27
40.12166667,-105.49333333,1995-07-30
40.20666667,-105.31833333,1995-09-05
40.64833333,-105.50833333,1995-06-21
40.66166667,-105.335,1995-07-30
40.63333333,-105.47,1995-08-02
40.69166667,-105.37333333,1995-08-18
38.46666667,-105.855,1995-07-22
37.08333333,-102.515,1995-03-19
37.26666667,-102.78833333,1995-03-24
37.30166667,-103.26,1995-08-12
37.24333333,-102.89666667,1995-08-29
37.04,-102.35166667,1995-09-20
37.36,-102.915,1995-10-11
37.14166667,-102.78833333,1995-10-13
37.27166667,-102.98666667,1995-10-31
37.345,-103.02333333,1995-11-07
37.345,-103.005,1995-11-07
39.04,-106.00333333,1995-10-31
39.13333333,-105.33833333,1995-06-28
39.35,-105.3,1995-07-30
39.35,-105.18333333,1995-08-01
39.405,-105.16666667,1995-08-30
39.21666667,-105.22166667,1995-08-31
39.35,-105.15,1995-12-04
37.4325,-108.25861111,1995-07-09
37.5825,-108.56138889,1995-08-01
37.72833333,-108.68805556,1995-09-07
37.59361111,-108.49333333,1995-09-12
37.14694444,-107.96944444,1995-07-29
37.11722222,-107.06472222,1995-08-02
37.31333333,-106.94777778,1995-08-04
37.39027778,-106.88583333,1995-08-07
37.13194444,-106.87277778,1995-08-18
37.30611111,-107.34666667,1995-09-16
37.4675,-107.17027778,1995-10-15
37.41527778,-108.13472222,1995-10-16
37.17722222,-106.94888889,1995-10-21
37.32333333,-107.50555556,1995-08-06
39.36833333,-106.30166667,1995-07-30
39.64666667,-106.40333333,1995-04-07
38.93833333,-105.00333333,1996-05-12
37.60333333,-106.65833333,1996-06-23
37.76666667,-106.42166667,1996-02-15
37.855,-106.28833333,1996-06-09
39.03333333,-105.37333333,1996-03-31
39.155,-105.12166667,1996-04-27
39.09166667,-105.105,1996-05-07
38.69166667,-104.84166667,1996-03-31
37.66666667,-103.85166667,1996-02-20
38.94166667,-105.34027778,1996-07-21
40.46,-105.37333333,1996-06-11
40.66333333,-105.52666667,1996-06-12
40.575,-105.41333333,1996-05-17
40.05,-105.475,1996-08-12
39.71666667,-105.53666667,1996-07-23
40.72,-105.6,1996-08-11
37.27166667,-103.36833333,1996-04-11
39.075,-105.37333333,1996-07-22
37.2,-103.62166667,1996-07-17
37.08333333,-102.38833333,1996-05-31
39.22166667,-105.31666667,1996-05-08
37.4,-105.03333333,1996-05-02
40.73333333,-105.62,1996-08-16
40.40166667,-105.37333333,1996-08-18
38.37,-108.48666667,1996-04-06
38.55166667,-108.32,1996-06-09
38.25333333,-108.185,1996-06-12
38.29833333,-108.36666667,1996-07-23
39.63333333,-106.41666667,1996-08-24
37.27333333,-107.23833333,1996-04-16
38.03333333,-104.95,1996-04-17
38.16666667,-105.03333333,1996-08-18
40.30666667,-106.66166667,1996-08-07
40.12666667,-106.80166667,1996-09-03
38.55666667,-108.41,1996-09-04
38.12333333,-108.14,1996-08-16
39.23666667,-105.155,1996-07-01
37.25666667,-107.12666667,1996-06-22
37.27388889,-107.23888889,1996-05-26
37.33888889,-107.32194444,1996-06-10
37.88611111,-108.7475,1996-06-22
37.59444444,-108.41833333,1996-06-22
37.21944444,-107.44055556,1996-06-23
37.61,-108.38666667,1996-06-22
37.6125,-108.50583333,1996-06-24
37.59416667,-108.59472222,1996-07-01
37.155,-106.88666667,1996-06-23
37.46583333,-108.31333333,1996-07-28
37.78583333,-108.6125,1996-07-31
37.85555556,-108.75916667,1996-08-04
37.64638889,-108.66333333,1996-08-28
37.24166667,-106.88166667,1996-08-01
37.705,-108.64,1996-07-15
37.59416667,-108.58972222,1996-07-19
37.81388889,-108.5725,1996-07-20
37.78583333,-108.64916667,1996-08-01
37.80333333,-108.68138889,1996-08-14
37.27861111,-107.29222222,1996-08-18
37.29583333,-107.30611111,1996-08-19
40.17166667,-106.725,1996-10-02
37.32333333,-107.16972222,1996-10-07
37.84166667,-108.70416667,1996-08-18
39.205,-105.18833333,1996-07-31
37.27361111,-107.23861111,1996-04-27
37.80916667,-108.72444444,1996-05-01
37.615,-107.72833333,1996-05-06
37.23166667,-107.21166667,1996-05-12
37.14305556,-107.10416667,1996-05-25
39.39,-105.07333333,1996-08-14
39.41666667,-105.1,1996-08-01
38.75,-105.985,1996-08-17
39.55666667,-105.46833333,1996-08-11
39.40166667,-105.08666667,1996-10-16
37.62166667,-103.62166667,1996-04-01
39.13666667,-106.30166667,1996-05-13
39.33833333,-105.33833333,1996-05-18
39.95,-105.435,1996-02-17
40.11666667,-105.38333333,1996-10-18
38.52166667,-107.98833333,1997-07-25
40.75,-105.24333333,1997-07-17
40.66333333,-105.41333333,1997-07-24
38.475,-109.04,1997-08-20
40.56833333,-105.43666667,1997-09-16
37.57916667,-108.205,1997-04-14
39.12,-105.43166667,1997-06-29
39.165,-105.32333333,1997-06-25
38.98833333,-104.92166667,1997-01-01
38.74,-104.91666667,1997-07-07
39.15,-105.305,1997-06-29
39.32333333,-105.19333333,1997-07-13
38.35472222,-105.24444444,1997-07-05
39.02,-105.32166667,1997-07-24
37.02666667,-102.29805556,1997-07-15
39.075,-105.355,1997-05-08
39.11666667,-106.37166667,1997-07-01
38.38166667,-108.355,1997-06-27
38.21666667,-108.26666667,1997-07-08
39.01666667,-108.23333333,1997-06-22
37.99,-108.28833333,1997-07-09
37.30666667,-103.09833333,1997-07-07
37.30833333,-103.2,1997-07-08
37.23666667,-102.60833333,1997-07-27
37.035,-103.075,1997-07-10
39.095,-105.44166667,1997-06-25
37.18805556,-107.32972222,1997-06-27
37.15666667,-107.43888889,1997-07-08
37.53805556,-108.46083333,1997-08-20
37.52611111,-108.10388889,1997-07-18
37.56222222,-108.30527778,1997-07-18
37.60944444,-108.53138889,1997-07-23
37.63138889,-108.57361111,1997-07-23
38.06833333,-105.74166667,1997-07-08
38.35,-105.98333333,1997-08-28
38.65333333,-106.86333333,1998-05-04
39.25333333,-105.28833333,1998-06-22
39.475,-105.305,1998-06-22
39.49833333,-105.71,1998-06-29
39.41,-105.11833333,1998-07-02
39.27166667,-105.28833333,1998-07-14
39.205,-105.32166667,1998-07-14
39.28,-105.19333333,1998-07-17
39.27166667,-105.23333333,1998-07-20
39.11833333,-105.54166667,1998-05-02
38.98166667,-105.32833333,1998-07-03
38.82166667,-105.50333333,1998-05-08
38.80333333,-104.895,1998-05-16
37.225,-102.94666667,1998-05-18
38.05,-105.11666667,1998-05-27
38.3,-105.26666667,1998-06-17
38.96833333,-105.385,1998-06-21
